iter	Passed	Remaining
0	157	157768
1	159	79506
2	160	53187
3	160	40032
4	161	32127
5	162	26880
6	163	23128
7	163	20334
8	165	18198
9	166	16441
10	166	14996
11	167	13787
12	168	12780
13	169	11931
14	171	11235
15	172	10609
16	173	10058
17	175	9565
18	177	9175
19	178	8770
20	179	8388
21	180	8038
22	181	7712
23	183	7449
24	184	7212
25	186	6991
26	187	6761
27	188	6559
28	189	6360
29	190	6164
30	191	5979
31	192	5812
32	193	5658
33	193	5508
34	194	5369
35	195	5237
36	196	5117
37	197	4997
38	198	4884
39	198	4774
40	200	4699
41	202	4610
42	202	4517
43	203	4429
44	204	4341
45	205	4256
46	206	4179
47	207	4116
48	208	4051
49	209	3983
50	210	3919
51	211	3853
52	212	3791
53	212	3728
54	215	3695
55	216	3650
56	217	3599
57	218	3547
58	219	3497
59	220	3448
60	221	3407
61	222	3365
62	223	3320
63	224	3276
64	224	3233
65	225	3196
66	226	3159
67	227	3120
68	228	3089
69	230	3064
70	232	3037
71	233	3005
72	234	2972
73	234	2939
74	235	2907
75	236	2874
76	237	2845
77	238	2814
78	238	2784
79	239	2757
80	240	2731
81	241	2705
82	242	2673
83	242	2648
84	243	2626
85	245	2610
86	247	2593
87	248	2575
88	250	2558
89	251	2538
90	252	2517
91	252	2495
92	253	2475
93	254	2455
94	256	2439
95	257	2420
96	258	2402
97	259	2386
98	260	2371
99	261	2355
100	263	2342
101	264	2328
102	265	2314
103	266	2299
104	268	2285
105	269	2272
106	270	2256
107	271	2241
108	272	2225
109	273	2213
110	275	2204
111	276	2191
112	277	2176
113	278	2162
114	279	2148
115	280	2140
116	281	2127
117	283	2117
118	284	2105
119	285	2090
120	285	2076
121	287	2066
122	289	2061
123	290	2053
124	291	2041
125	293	2034
126	294	2022
127	294	2009
128	295	1997
129	297	1992
130	299	1984
131	300	1975
132	301	1967
133	303	1961
134	305	1958
135	306	1950
136	308	1942
137	309	1933
138	310	1925
139	312	1916
140	313	1908
141	314	1898
142	315	1889
143	316	1881
144	317	1873
145	319	1866
146	320	1859
147	321	1851
148	322	1842
149	323	1835
150	324	1827
151	326	1821
152	327	1815
153	329	1810
154	331	1806
155	332	1801
156	334	1798
157	336	1792
158	337	1786
159	338	1778
160	339	1768
161	340	1761
162	341	1753
163	343	1752
164	345	1747
165	346	1741
166	349	1741
167	350	1737
168	352	1732
169	353	1726
170	354	1719
171	355	1711
172	356	1704
173	357	1698
174	358	1692
175	360	1690
176	362	1684
177	364	1681
178	365	1675
179	366	1670
180	367	1664
181	369	1658
182	370	1652
183	370	1644
184	371	1636
185	372	1629
186	373	1622
187	374	1619
188	375	1612
189	378	1612
190	379	1608
191	381	1603
192	382	1598
193	383	1593
194	384	1587
195	385	1581
196	386	1577
197	388	1572
198	389	1567
199	390	1560
200	390	1554
201	392	1550
202	394	1547
203	395	1543
204	396	1539
205	398	1535
206	399	1529
207	400	1524
208	401	1518
209	402	1513
210	403	1508
211	404	1503
212	405	1498
213	407	1495
214	408	1492
215	410	1488
216	411	1484
217	412	1479
218	413	1474
219	414	1469
220	415	1463
221	416	1458
222	417	1453
223	418	1448
224	419	1444
225	421	1442
226	422	1440
227	424	1438
228	426	1434
229	427	1430
230	428	1425
231	429	1420
232	430	1415
233	430	1410
234	431	1405
235	432	1400
236	433	1396
237	434	1391
238	435	1385
239	436	1381
240	438	1380
241	440	1378
242	440	1373
243	441	1369
244	442	1364
245	443	1359
246	444	1354
247	444	1348
248	445	1343
249	446	1338
250	446	1333
251	447	1328
252	448	1323
253	449	1319
254	449	1314
255	450	1310
256	451	1306
257	452	1302
258	453	1298
259	454	1294
260	455	1289
261	456	1285
262	457	1280
263	457	1276
264	458	1272
265	459	1267
266	460	1263
267	460	1259
268	461	1254
269	462	1250
270	463	1246
271	464	1242
272	465	1238
273	465	1234
274	467	1231
275	467	1227
276	468	1223
277	469	1219
278	470	1215
279	471	1211
280	471	1207
281	472	1202
282	473	1198
283	473	1194
284	474	1190
285	475	1186
286	476	1182
287	476	1178
288	477	1174
289	478	1170
290	478	1166
291	479	1162
292	480	1159
293	481	1156
294	482	1153
295	483	1150
296	484	1146
297	485	1143
298	486	1139
299	486	1135
300	487	1131
301	488	1128
302	488	1124
303	489	1120
304	490	1117
305	491	1113
306	491	1110
307	492	1106
308	493	1103
309	493	1099
310	494	1095
311	495	1092
312	496	1089
313	497	1086
314	498	1084
315	499	1080
316	500	1077
317	500	1074
318	501	1070
319	502	1067
320	503	1064
321	504	1061
322	504	1058
323	505	1054
324	506	1051
325	507	1048
326	507	1045
327	508	1042
328	509	1038
329	510	1035
330	511	1032
331	512	1030
332	512	1027
333	513	1024
334	514	1021
335	515	1018
336	516	1015
337	516	1012
338	517	1009
339	518	1006
340	519	1003
341	520	1000
342	520	997
343	521	994
344	522	992
345	523	989
346	523	986
347	524	982
348	525	979
349	526	976
350	527	975
351	528	973
352	530	971
353	530	968
354	531	966
355	532	963
356	533	960
357	534	957
358	535	956
359	536	954
360	537	951
361	538	948
362	539	945
363	539	943
364	540	940
365	542	939
366	543	938
367	545	936
368	546	934
369	547	932
370	548	930
371	549	928
372	550	925
373	551	923
374	552	920
375	553	917
376	554	916
377	555	913
378	556	911
379	557	909
380	558	906
381	559	904
382	560	902
383	560	899
384	561	897
385	562	894
386	563	892
387	564	889
388	564	887
389	565	885
390	566	883
391	567	880
392	568	877
393	569	875
394	569	872
395	571	870
396	572	869
397	573	867
398	574	865
399	575	862
400	575	860
401	576	857
402	577	855
403	578	853
404	579	851
405	580	848
406	580	846
407	581	843
408	582	841
409	583	838
410	584	837
411	585	836
412	586	834
413	587	831
414	588	829
415	589	827
416	589	824
417	590	822
418	591	820
419	592	818
420	593	816
421	594	813
422	595	811
423	595	809
424	596	807
425	597	805
426	598	802
427	599	800
428	599	798
429	600	796
430	601	794
431	602	791
432	603	789
433	604	788
434	605	786
435	606	784
436	607	782
437	607	779
438	608	777
439	609	775
440	610	774
441	611	772
442	612	769
443	613	767
444	613	765
445	614	763
446	615	761
447	616	759
448	617	758
449	619	756
450	619	754
451	620	752
452	621	750
453	622	749
454	623	747
455	624	745
456	625	742
457	625	740
458	626	738
459	627	736
460	628	734
461	629	732
462	630	730
463	631	728
464	632	727
465	633	725
466	635	724
467	636	723
468	637	721
469	637	719
470	638	717
471	639	715
472	640	713
473	641	712
474	642	710
475	643	708
476	644	706
477	645	704
478	646	703
479	647	701
480	648	699
481	649	698
482	650	696
483	651	694
484	653	693
485	654	692
486	656	691
487	656	689
488	657	687
489	659	686
490	660	684
491	662	683
492	663	682
493	664	680
494	665	678
495	666	677
496	668	676
497	669	674
498	670	672
499	671	671
500	671	669
501	673	667
502	674	666
503	675	664
504	675	662
505	678	661
506	679	660
507	680	659
508	681	657
509	683	656
510	685	655
511	686	653
512	687	652
513	688	650
514	688	648
515	689	647
516	691	645
517	692	644
518	694	643
519	695	641
520	696	640
521	698	639
522	699	638
523	700	636
524	701	634
525	702	633
526	703	631
527	704	629
528	705	628
529	707	627
530	708	625
531	710	625
532	712	623
533	713	622
534	715	621
535	716	619
536	716	618
537	717	616
538	718	614
539	719	612
540	719	610
541	721	609
542	723	608
543	724	607
544	726	606
545	727	604
546	728	603
547	729	601
548	730	599
549	731	598
550	731	596
551	732	594
552	733	592
553	734	591
554	737	591
555	738	589
556	739	588
557	741	587
558	742	586
559	744	584
560	745	583
561	746	581
562	747	580
563	748	578
564	749	576
565	750	575
566	752	574
567	753	573
568	754	571
569	756	570
570	757	569
571	758	567
572	759	566
573	760	564
574	761	563
575	762	561
576	764	560
577	765	559
578	767	557
579	768	556
580	770	555
581	771	553
582	772	552
583	773	550
584	774	549
585	774	547
586	776	546
587	778	545
588	779	543
589	780	542
590	781	540
591	782	539
592	783	537
593	784	536
594	785	534
595	786	532
596	786	531
597	787	529
598	788	527
599	789	526
600	789	524
601	790	522
602	791	520
603	791	519
604	792	517
605	793	515
606	794	514
607	796	513
608	797	511
609	798	510
610	799	508
611	799	507
612	800	505
613	801	503
614	801	502
615	802	500
616	803	498
617	804	497
618	804	495
619	805	493
620	806	492
621	807	490
622	807	488
623	808	487
624	809	485
625	811	484
626	812	483
627	813	481
628	814	480
629	814	478
630	815	476
631	816	475
632	816	473
633	817	472
634	818	470
635	819	468
636	819	467
637	820	465
638	821	464
639	822	462
640	823	460
641	823	459
642	824	457
643	825	456
644	826	455
645	827	453
646	828	451
647	829	450
648	829	448
649	830	447
650	831	445
651	832	444
652	832	442
653	833	440
654	834	439
655	835	437
656	835	436
657	836	434
658	837	433
659	837	431
660	838	430
661	839	428
662	841	427
663	842	426
664	842	424
665	843	423
666	844	421
667	845	419
668	845	418
669	846	417
670	847	415
671	848	413
672	848	412
673	849	410
674	850	409
675	851	407
676	851	406
677	852	404
678	853	403
679	854	401
680	855	400
681	856	399
682	857	397
683	857	396
684	858	394
685	859	393
686	860	392
687	861	390
688	861	389
689	862	387
690	863	386
691	864	384
692	864	383
693	865	381
694	866	380
695	867	378
696	867	377
697	868	375
698	869	374
699	870	373
700	871	371
701	872	370
702	873	368
703	873	367
704	874	365
705	875	364
706	876	363
707	876	361
708	877	360
709	878	358
710	879	357
711	880	355
712	880	354
713	881	353
714	882	351
715	883	350
716	883	348
717	884	347
718	885	346
719	886	344
720	887	343
721	887	341
722	888	340
723	889	339
724	890	337
725	891	336
726	891	334
727	892	333
728	893	332
729	893	330
730	894	329
731	895	327
732	896	326
733	896	324
734	897	323
735	898	322
736	898	320
737	900	319
738	901	318
739	902	316
740	902	315
741	903	314
742	904	312
743	905	311
744	906	310
745	906	308
746	907	307
747	908	306
748	909	304
749	909	303
750	910	301
751	911	300
752	912	299
753	912	297
754	913	296
755	914	295
756	915	293
757	916	292
758	917	291
759	918	289
760	919	288
761	919	287
762	920	285
763	921	284
764	922	283
765	922	281
766	923	280
767	924	279
768	925	277
769	925	276
770	926	275
771	927	274
772	928	272
773	929	271
774	930	270
775	931	268
776	933	267
777	934	266
778	935	265
779	936	264
780	936	262
781	937	261
782	938	260
783	939	258
784	939	257
785	940	256
786	941	254
787	942	253
788	942	252
789	943	250
790	944	249
791	945	248
792	946	247
793	947	245
794	948	244
795	948	243
796	949	241
797	950	240
798	951	239
799	952	238
800	953	236
801	953	235
802	954	234
803	954	232
804	955	231
805	956	230
806	957	228
807	958	227
808	959	226
809	960	225
810	961	224
811	962	222
812	962	221
813	964	220
814	965	219
815	966	217
816	966	216
817	967	215
818	968	213
819	968	212
820	969	211
821	971	210
822	972	209
823	972	207
824	973	206
825	974	205
826	975	203
827	976	202
828	977	201
829	978	200
830	978	199
831	979	197
832	980	196
833	981	195
834	982	194
835	982	192
836	984	191
837	984	190
838	985	189
839	986	187
840	986	186
841	987	185
842	988	184
843	989	182
844	990	181
845	991	180
846	992	179
847	993	178
848	993	176
849	994	175
850	995	174
851	997	173
852	997	171
853	998	170
854	999	169
855	999	168
856	1000	166
857	1001	165
858	1002	164
859	1003	163
860	1004	162
861	1004	160
862	1006	159
863	1008	158
864	1009	157
865	1010	156
866	1011	155
867	1012	153
868	1012	152
869	1014	151
870	1015	150
871	1016	149
872	1017	147
873	1018	146
874	1018	145
875	1019	144
876	1021	143
877	1022	142
878	1023	140
879	1024	139
880	1026	138
881	1031	138
882	1033	136
883	1036	135
884	1037	134
885	1040	133
886	1042	132
887	1044	131
888	1046	130
889	1047	129
890	1049	128
891	1051	127
892	1054	126
893	1056	125
894	1057	124
895	1059	122
896	1061	121
897	1062	120
898	1063	119
899	1065	118
900	1067	117
901	1069	116
902	1070	114
903	1071	113
904	1073	112
905	1075	111
906	1076	110
907	1077	109
908	1078	107
909	1079	106
910	1081	105
911	1082	104
912	1083	103
913	1084	102
914	1085	100
915	1086	99
916	1088	98
917	1089	97
918	1090	96
919	1091	94
920	1091	93
921	1092	92
922	1093	91
923	1095	90
924	1097	88
925	1098	87
926	1099	86
927	1100	85
928	1101	84
929	1102	82
930	1103	81
931	1104	80
932	1104	79
933	1106	78
934	1108	77
935	1110	75
936	1112	74
937	1115	73
938	1116	72
939	1117	71
940	1118	70
941	1119	68
942	1120	67
943	1121	66
944	1127	65
945	1129	64
946	1130	63
947	1132	62
948	1134	60
949	1135	59
950	1137	58
951	1138	57
952	1140	56
953	1141	55
954	1142	53
955	1144	52
956	1145	51
957	1146	50
958	1147	49
959	1148	47
960	1149	46
961	1150	45
962	1152	44
963	1154	43
964	1155	41
965	1156	40
966	1157	39
967	1158	38
968	1159	37
969	1161	35
970	1162	34
971	1163	33
972	1164	32
973	1165	31
974	1165	29
975	1166	28
976	1168	27
977	1170	26
978	1171	25
979	1171	23
980	1173	22
981	1174	21
982	1175	20
983	1176	19
984	1177	17
985	1178	16
986	1180	15
987	1181	14
988	1183	13
989	1184	11
990	1185	10
991	1186	9
992	1188	8
993	1189	7
994	1190	5
995	1191	4
996	1191	3
997	1192	2
998	1193	1
999	1194	0
